3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2
3828 BLACKFOOT WAY,ANTELOPE,95843,CA,3,2
4108 NORTON WAY,SACRAMENTO,95820,CA,3,1
1469 JANRICK AVE,SACRAMENTO,95832,CA,3,2
9861 CULP WAY,SACRAMENTO,95827,CA,4,2
7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,2,2
6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2
3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2
7944 DOMINION WAY,ELVERTA,95626,CA,3,2
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2
3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2